Combination,Unavailability,Cost,Generation
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(1) st(1) vm(1),0.3833088646388112,2.704967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(2) st(1) vm(1),0.37103332441062464,2.741967e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(1) mt(1) st(1) vm(1),0.36833187432150694,2.746968e6,500
af(4) bp(4) cp(2) fm(3) ht(2) if(2) me(4) mt(4) st(5) vm(4),0.0948083665901468,4.307191e6,500
af(4) bp(4) cp(2) fm(2) ht(2) if(2) me(3) mt(3) st(7) vm(3),0.09852588206487511,4.202191e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(1),0.3161944090086163,2.749967e6,500
af(4) bp(5) cp(2) fm(3) ht(2) if(2) me(4) mt(3) st(4) vm(3),0.10016834414094178,4.155191e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(1),0.30258292254617936,2.786967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(1) st(1) vm(1),0.29223737019497364,2.794967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(1),0.27814900709714807,2.831967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(2),0.2509109194827637,2.850967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(1),0.30258292254617936,2.786967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(1) st(1) vm(2),0.22466668221232955,2.895967e6,500
af(4) bp(4) cp(2) fm(2) ht(2) if(2) me(3) mt(3) st(7) vm(3),0.09852588206487511,4.202191e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(2),0.23599993306652634,2.887967e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(2),0.23271850635664648,2.892968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(2),0.21744539101334637,2.929968e6,500
af(2) bp(3) cp(2) fm(1) ht(2) if(2) me(3) mt(5) st(4) vm(3),0.10674820262800322,3.688968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(3) st(1) vm(2),0.21210808745457266,2.966968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(2),0.19002869336086337,2.974968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(1) vm(2),0.18450439807490548,3.011968e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(3),0.17234606025744303,3.033967e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(3),0.15224561721419583,3.075968e6,500
af(1) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(3),0.14597395930114598,3.150968e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(1) st(1) vm(1),0.3833088646388112,2.704967e6,500
af(1) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(2) st(2) vm(3),0.13114414816700382,3.239968e6,500
af(1) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(2) vm(3),0.12617886255858135,3.276968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(3) vm(3),0.12531691380387688,3.290968e6,500
af(2) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(4) st(3) vm(3),0.1090326688605121,3.487968e6,500
af(2) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(2) vm(3),0.12104049241244086,3.361968e6,500
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(3) vm(3),0.12531691380387688,3.290968e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(2),0.2509109194827637,2.850967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(2) st(1) vm(1),0.37103332441062464,2.741967e6,500
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(1) st(1) vm(1),0.29223737019497364,2.794967e6,500
